res_gs,work_gs,Residence,Workplace,SUM_Total_means_of_transportation
gs19,gs04,Outer Southwest,Inner South,3372
gs19,gs05,Outer Southwest,Inner Southwest,5329
gs19,gs06,Outer Southwest,Inner West,2140
gs19,gs07,Outer Southwest,Inner Upper West,904
gs19,gs08,Outer Southwest,Inner Lower West,3166
gs19,gs09,Outer Southwest,Northwest Indiana,988
gs19,gs10,Outer Southwest,Middle North,433
gs19,gs11,Outer Southwest,Middle Northwest,1648
gs19,gs12,Outer Southwest,Middle/Outer South,5019
gs19,gs13,Outer Southwest,Middle Southwest,16274
gs19,gs14,Outer Southwest,Middle West,5099
gs19,gs15,Outer Southwest,Middle Upper West,2453
gs19,gs16,Outer Southwest,Middle Lower West,25838
gs19,gs17,Outer Southwest,Outer North,181
gs19,gs18,Outer Southwest,Outer Northwest,666
gs19,gs19,Outer Southwest,Outer Southwest,79848
gs19,gs20,Outer Southwest,Outer West,378
gs19,gs21,Outer Southwest,Outer Upper West,443
gs19,gs22,Outer Southwest,Outer Lower West,2712
gs19,gs23,Outer Southwest,External Illinois,4476
gs19,gs24,Outer Southwest,External Indiana,129
gs19,gs25,Outer Southwest,External Wisconsin,55
gs20,gs01,Outer West,Central,2959
gs20,gs02,Outer West,Inner North,173
gs20,gs03,Outer West,Inner Northwest,832
gs20,gs04,Outer West,Inner South,63
gs20,gs05,Outer West,Inner Southwest,119
gs20,gs06,Outer West,Inner West,455
gs20,gs07,Outer West,Inner Upper West,178
gs20,gs08,Outer West,Inner Lower West,195
gs20,gs09,Outer West,Northwest Indiana,4
gs20,gs10,Outer West,Middle North,111
gs20,gs11,Outer West,Middle Northwest,1747
gs20,gs12,Outer West,Middle/Outer South,100
gs20,gs13,Outer West,Middle Southwest,368
gs20,gs14,Outer West,Middle West,5610
gs20,gs15,Outer West,Middle Upper West,3066
gs20,gs16,Outer West,Middle Lower West,5162
gs20,gs17,Outer West,Outer North,114
gs20,gs18,Outer West,Outer Northwest,759
gs20,gs19,Outer West,Outer Southwest,233
gs20,gs20,Outer West,Outer West,22748
gs20,gs21,Outer West,Outer Upper West,3889
gs20,gs22,Outer West,Outer Lower West,4095
gs20,gs23,Outer West,External Illinois,962
gs20,gs25,Outer West,External Wisconsin,43
gs21,gs01,Outer Upper West,Central,2285
gs21,gs02,Outer Upper West,Inner North,763
gs21,gs03,Outer Upper West,Inner Northwest,2190
gs21,gs04,Outer Upper West,Inner South,228
gs21,gs05,Outer Upper West,Inner Southwest,333
gs21,gs06,Outer Upper West,Inner West,599
gs21,gs07,Outer Upper West,Inner Upper West,493
gs21,gs08,Outer Upper West,Inner Lower West,141
gs21,gs09,Outer Upper West,Northwest Indiana,95
gs21,gs10,Outer Upper West,Middle North,540
gs21,gs11,Outer Upper West,Middle Northwest,7411
gs21,gs12,Outer Upper West,Middle/Outer South,149
gs21,gs13,Outer Upper West,Middle Southwest,147
gs21,gs14,Outer Upper West,Middle West,3683
gs21,gs15,Outer Upper West,Middle Upper West,9769
gs21,gs16,Outer Upper West,Middle Lower West,2321
gs21,gs17,Outer Upper West,Outer North,330
gs21,gs18,Outer Upper West,Outer Northwest,7087
gs21,gs19,Outer Upper West,Outer Southwest,273
gs21,gs20,Outer Upper West,Outer West,5690
gs21,gs21,Outer Upper West,Outer Upper West,30125
gs21,gs22,Outer Upper West,Outer Lower West,1756
gs21,gs23,Outer Upper West,External Illinois,953
gs21,gs25,Outer Upper West,External Wisconsin,70
gs22,gs01,Outer Lower West,Central,3793
gs22,gs02,Outer Lower West,Inner North,214
gs22,gs03,Outer Lower West,Inner Northwest,1161
gs22,gs04,Outer Lower West,Inner South,414
gs22,gs05,Outer Lower West,Inner Southwest,364
gs22,gs06,Outer Lower West,Inner West,761
gs22,gs07,Outer Lower West,Inner Upper West,229
gs22,gs08,Outer Lower West,Inner Lower West,430
gs22,gs09,Outer Lower West,Northwest Indiana,45
gs22,gs10,Outer Lower West,Middle North,184
gs22,gs11,Outer Lower West,Middle Northwest,927
gs22,gs12,Outer Lower West,Middle/Outer South,189
gs22,gs13,Outer Lower West,Middle Southwest,1427
gs22,gs14,Outer Lower West,Middle West,7055
gs22,gs15,Outer Lower West,Middle Upper West,2285
