id,vadt,AADT,FacilityType
10597-10596,23817.02793,14400,Arterial/Collector
10597-10598,18724.40562,12500,Arterial/Collector
10598-10447,1791.537323,8750,Arterial/Collector
10598-10597,21459.84846,12500,Arterial/Collector
10598-10599,20665.33093,10900,Arterial/Collector
10598-10759,8889.410364,8750,Arterial/Collector
10599-10553,18736.17084,10900,Arterial/Collector
10599-10598,21303.49441,10900,Arterial/Collector
10601-10586,26231.54602,17550,Arterial/Collector
10601-10613,22648.7009,17550,Arterial/Collector
10611-10419,24351.74705,19750,Arterial/Collector
10611-10612,12567.60007,6550,Arterial/Collector
10611-10626,8798.003884,6550,Arterial/Collector
10611-10645,21273.08185,14350,Arterial/Collector
10612-10365,12519.63934,8850,Arterial/Collector
10612-10611,12283.30568,6550,Arterial/Collector
10612-10617,6078.72077,5600,Arterial/Collector
10612-10715,14993.77052,9650,Arterial/Collector
10613-10580,16226.69911,11950,Arterial/Collector
10613-10594,16327.78692,13050,Arterial/Collector
10613-10601,23852.53101,17550,Arterial/Collector
10613-10762,21199.01801,11550,Arterial/Collector
10617-10525,8492.430234,1400,Arterial/Collector
10617-10612,6703.066351,5600,Arterial/Collector
10617-10618,8184.552147,4850,Arterial/Collector
10618-10520,9827.79774,6250,Arterial/Collector
10618-10617,8408.046333,4850,Arterial/Collector
10618-10724,12560.02872,6250,Arterial/Collector
10624-10625,7826.036878,5400,Arterial/Collector
10624-10642,5116.009444,4250,Arterial/Collector
10625-10624,8330.302187,5400,Arterial/Collector
10625-10626,8575.271813,5400,Arterial/Collector
10626-10611,9716.031728,6550,Arterial/Collector
10626-10625,7863.449798,5400,Arterial/Collector
10631-10644,2563.44628,3500,Arterial/Collector
10632-10641,3693.926519,3550,Arterial/Collector
10639-10596,34353.79774,19500,Arterial/Collector
10639-10758,23772.04756,14350,Arterial/Collector
10640-10644,2591.999559,3500,Arterial/Collector
10641-10632,3742.977272,3550,Arterial/Collector
10641-10642,3295.78851,3550,Arterial/Collector
10642-10624,4736.407335,4250,Arterial/Collector
10642-10641,4184.284309,3550,Arterial/Collector
10644-10631,1393.621615,3500,Arterial/Collector
10644-10640,2538.498509,3500,Arterial/Collector
10645-10611,20666.00368,14350,Arterial/Collector
10645-10714,21190.29412,14350,Arterial/Collector
10646-10708,8264.656563,2750,Arterial/Collector
10650-10585,1083.914075,2050,Arterial/Collector
10666-10676,4031.229714,850,Arterial/Collector
10666-10852,9704.139508,3600,Arterial/Collector
10667-10677,2622.60104,350,Arterial/Collector
10669-21146,77624.92697,76200,Interstate
10675-10676,6812.7047,950,Arterial/Collector
10676-10666,5398.193508,850,Arterial/Collector
10676-10675,7521.807512,950,Arterial/Collector
10676-10862,3939.805609,2800,Arterial/Collector
10677-10667,2873.593713,350,Arterial/Collector
10677-10695,4820.448852,350,Arterial/Collector
10691-10669,7515.603704,3500,Interstate
10692-10528,7042.777001,2850,Arterial/Collector
10692-11019,4162.294652,1500,Arterial/Collector
10695-10677,4801.039839,350,Arterial/Collector
10695-23024,4809.572978,400,Arterial/Collector
10696-10704,16066.55106,6750,Arterial/Collector
10698-10793,1594.096631,500,Arterial/Collector
10700-10415,7242.782538,5100,Arterial/Collector
10701-10738,2310.811622,900,Interstate
10703-10736,5440.490956,3700,Interstate
10704-10696,17557.40167,6750,Arterial/Collector
10706-10517,19294.27438,9700,Arterial/Collector
10706-10904,22574.0191,11400,Arterial/Collector
10707-10708,1966.093561,1950,Arterial/Collector
10708-10646,8093.290683,2750,Arterial/Collector
10708-10707,2656.95975,1950,Arterial/Collector
10708-10709,2795.923342,1950,Arterial/Collector
10708-10825,7843.486529,2750,Arterial/Collector
10709-10595,6668.617709,6100,Arterial/Collector
10709-10708,2865.605898,1950,Arterial/Collector
10709-10710,4100.658556,2150,Arterial/Collector
10709-10826,8397.355982,7000,Arterial/Collector
10710-10591,2583.265594,1650,Arterial/Collector
10710-10709,3578.652053,2150,Arterial/Collector
10710-10711,3147.201544,2150,Arterial/Collector
10711-10592,4422.392268,3300,Arterial/Collector
10711-10710,4689.120313,2150,Arterial/Collector
10711-10716,3777.458696,2150,Arterial/Collector
10711-10763,4717.193869,3300,Arterial/Collector
10712-10511,30123.41982,12500,Arterial/Collector
10713-10089,4615.833913,2800,Arterial/Collector
10713-10809,11580.11905,7000,Arterial/Collector
10714-10645,19963.31957,14350,Arterial/Collector
10714-10881,19644.52887,14350,Arterial/Collector
10715-10612,14098.23033,9650,Arterial/Collector
10715-10843,15166.01483,9650,Arterial/Collector
10716-10711,3782.233187,2150,Arterial/Collector
10716-10757,4304.157507,2750,Arterial/Collector
10717-22624,1960.926462,1200,Arterial/Collector
10717-22894,3107.923791,1250,Arterial/Collector
10717-23024,4207.682425,450,Arterial/Collector
10718-10730,3768.075658,850,Arterial/Collector
10718-11036,5452.221839,3900,Arterial/Collector
10719-10720,2858.06647,850,Arterial/Collector
10720-10719,3956.644485,850,Arterial/Collector
10723-10771,20541.4886,11500,Interstate
10723-20161,59609.48166,55800,Interstate
10724-10618,13019.56781,6250,Arterial/Collector
10724-10725,2580.426066,2050,Arterial/Collector
10724-10845,13718.28128,6250,Arterial/Collector
10725-10538,12914.10622,3900,Arterial/Collector
10725-10724,2331.119889,2050,Arterial/Collector
10725-10804,13111.00866,3900,Arterial/Collector
10728-23670,17824.3722,10500,Arterial/Collector
10729-20265,5440.490956,3700,Interstate
10730-10430,5046.860456,2700,Arterial/Collector
