id,vadt,AADT,FacilityType
15275-15274,119173.16884326933,120900,Interstate
15283-20805,84468.60472869873,89000,Interstate
15285-20986,122138.31653547287,122400,Interstate
15286-20981,130206.96632130942,122600,Interstate
15293-20786,121755.87530064583,131900,Interstate
15293-21098,5189.51745307946,3600,Interstate
15294-21088,108968.47924590112,115600,Interstate
15294-21090,9254.212013511218,14170,Interstate
15295-20991,91482.68749260902,85600,Interstate
15302-20787,76934.96350860596,84300,Interstate
15302-20792,3483.766663953662,7236,Interstate
15303-15173,42188.841983765364,32300,Interstate
15303-21017,23465.563767910004,7600,Interstate
15304-15285,6541.288097977638,3800,Interstate
15305-15286,9410.881421282887,5200,Interstate
15307-20985,4772.730142695829,4000,Interstate
15307-21486,3526.034316542248,9200,Interstate
15315-15294,118222.69242342314,129100,Interstate
15317-15295,4479.806399619827,9648,Interstate
15378-15460,16023.81446239352,19900,Interstate
15379-20838,7599.707960101467,7400,Interstate
15382-15664,63923.456398010254,59600,Interstate
15382-20811,33746.44781565666,51000,Interstate
15405-15436,7065.045809237287,4942,Interstate
15405-15545,54175.568517883614,39597,Interstate
