id,vadt,AADT,FacilityType,flag
11535-20716,65218.25232,69774,Interstate,N
11536-11547,2638.013951,4383,Interstate,N
11536-11598,62929.01056,65397,Interstate,N
11537-11592,72216.13684,83100,Interstate,N
11545-11584,5380.942544,9692,Interstate,N
11567-20311,72313.7453,89100,Interstate,N
11581-11481,22394.43468,12253,Interstate,N
11584-11535,62459.11947,65397,Interstate,N
11592-20295,7846.728112,5628,Interstate,N
11592-20310,64369.40922,77500,Interstate,N
11593-11583,17203.44401,31915,Interstate,N
11593-11747,39268.22018,52057,Interstate,N
11598-11603,7832.021761,9203,Interstate,N
11598-20712,55096.99005,61765,Interstate,N
11602-20279,56880.95934,80918,Interstate,N
11603-11607,4449.418331,3720,Interstate,N
11604-20712,4449.418331,3720,Interstate,N
11612-11605,5087.105027,5189,Interstate,N
11621-11724,67917.62219,79005,Interstate,N
11622-11678,12070.9338,18799,Interstate,N
11622-23488,6471.169553,4450,Interstate,N
11623-20217,55253.26037,56900,Interstate,N
11624-11523,41852.90245,101700,Interstate,N
11624-20202,43953.66315,45100,Interstate,N
11625-11715,29382.89532,22578,Interstate,N
11627-11617,5087.105027,5189,Interstate,N
11627-11621,60131.14745,75336,Interstate,N
11631-11632,59897.02972,75332,Interstate,N
11631-20719,8714.902308,10736,Interstate,N
11632-20717,65567.02367,71516,Interstate,N
11638-11632,5669.996096,5189,Interstate,N
11651-20288,2251.520791,2266,Interstate,N
11655-11567,57277.39122,73500,Interstate,N
11668-11507,27944.14683,23467,Interstate,N
11711-11730,5221.946217,5678,Interstate,N
11714-11843,57119.43322,69500,Interstate,N
11714-22426,5112.892847,8442,Interstate,N
11715-11625,30190.26118,22578,Interstate,N
11715-23280,27439.70343,22578,Interstate,N
11718-11602,36887.08002,67217,Interstate,N
11721-11764,7621.567898,9554,Interstate,N
11724-11723,7351.797352,5580,Interstate,N
11724-11764,60565.82535,81548,Interstate,N
11727-11463,21938.50683,17185,Interstate,N
11727-11731,7747.969974,12964,Interstate,N
11730-12031,54903.28366,76112,Interstate,N
11731-11727,9393.661593,12964,Interstate,N
11731-11736,7747.969974,11155,Interstate,N
11735-11918,26065.04977,20703,Interstate,N
11736-11731,8751.568713,11155,Interstate,N
11736-11742,12285.76433,6231,Interstate,N
11740-11631,68611.93173,79005,Interstate,N
11742-11736,13663.17631,6231,Interstate,N
11742-11748,13088.37568,7939,Interstate,N
11746-11218,53494.60436,71386,Interstate,N
11746-11712,4754.927678,5580,Interstate,N
11747-11782,45288.76151,64567,Interstate,N
11748-11742,16165.62633,7939,Interstate,N
11749-23973,86400.97301,105300,Interstate,N
11750-11773,33995.52507,40903,Interstate,N
11754-11740,8294.641422,5482,Interstate,N
11755-23549,54270.34564,41908,Interstate,N
11756-11794,10487.93442,13700,Interstate,N
11756-11882,43451.41775,24900,Interstate,N
11764-11951,68187.39301,84145,Interstate,N
11773-11849,6739.976332,8342,Interstate,N
11773-20226,27255.54904,32562,Interstate,N
11777-11740,60317.28895,81555,Interstate,N
11777-11765,8215.239841,9888,Interstate,N
11782-11785,2203.83276,3133,Interstate,N
11782-20322,43084.92773,64518,Interstate,N
11793-20323,2203.83276,3133,Interstate,N
11794-11808,1653.889539,4600,Interstate,N
11808-11889,45105.30822,50300,Interstate,N
11809-11755,48230.96776,47200,Interstate,N
11809-21652,2325.430487,7000,Interstate,N
11828-11832,1818.978825,3329,Interstate,N
11832-20313,47552.66967,64518,Interstate,N
11843-20303,61811.69873,75500,Interstate,N
11847-11832,45733.69109,64518,Interstate,N
11847-20325,3006.554646,2561,Interstate,N
11849-20223,5333.589219,3819,Interstate,N
11853-11898,21335.48919,16182,Interstate,N
11858-11906,12663.31408,19283,Interstate,N
11877-11746,58249.53138,76411,Interstate,N
11882-11808,43451.41775,34200,Interstate,N
11889-21648,49697.68001,50300,Interstate,N
11891-11437,60549.62048,95525,Interstate,N
11897-11930,4050.658863,7930,Interstate,N
11898-11853,20572.26982,16182,Interstate,N
11898-24077,25486.07245,19767,Interstate,N
11905-11897,5477.614621,8713,Interstate,N
11906-11809,1577.860732,2700,Interstate,N
11906-21644,11085.45346,19283,Interstate,N
11919-11889,4592.371582,11500,Interstate,N
11919-11921,18771.58976,22142,Interstate,N
11920-11858,19879.06047,19283,Interstate,N
11921-11943,28139.98672,22142,Interstate,N
11927-11903,6241.499401,6951,Interstate,N
11930-12044,49185.59187,62558,Interstate,N
11936-11947,14598.26707,7800,Interstate,N
11936-21651,17615.91926,22142,Interstate,N
11940-11966,4258.638042,7880,Interstate,N
11940-24011,45942.93353,1773,Interstate,N
11942-11936,32214.18745,22142,Interstate,N
11943-21656,31065.59968,22142,Interstate,N
11946-21658,58987.4717,107689,Interstate,N
11947-11976,59842.40855,55000,Interstate,N
11949-11930,45134.9326,60508,Interstate,N
11949-12005,21714.68657,27499,Interstate,N
11950-11932,5477.614621,8713,Interstate,N
11950-11949,66849.61759,89774,Interstate,N
11951-11950,72327.23194,89774,Interstate,N
11953-11920,6378.42526,6400,Interstate,N
11953-21643,52688.22128,58700,Interstate,N
11970-11777,68532.53078,84145,Interstate,N
11975-24011,9675.484576,3891,Interstate,N
11976-12101,47196.99946,43200,Interstate,N
11976-21650,12645.40887,12209,Interstate,N
11977-11899,6107.059671,4137,Interstate,N
11997-24012,17032.5359,29485,Interstate,N
12000-12010,5575.122414,7342,Interstate,N
12008-21640,46241.98581,42200,Interstate,N
12008-21650,10788.96546,20640,Interstate,N
12010-11946,74137.00767,106590,Interstate,N
12013-12634,21714.68657,28195,Interstate,N
12014-12028,10127.91178,8909,Interstate,N
12028-12043,11478.72398,15174,Interstate,N
12030-12027,6452.828387,9007,Interstate,N
12031-21608,12969.00143,19798,Interstate,N
12031-21611,41934.28347,73217,Interstate,N
12037-12010,68561.88511,98536,Interstate,N
12039-21640,12824.66068,22311,Interstate,N
12041-12057,2025.341916,4797,Interstate,N
12042-12051,7525.385885,12017,Interstate,N
12043-12053,50536.40325,70194,Interstate,N
12044-12024,10127.91178,8909,Interstate,N
12044-12043,39057.67897,56539,Interstate,N
12048-20304,61896.43595,78700,Interstate,N
12049-21616,6557.448016,6951,Interstate,N
12050-12037,45127.51087,68628,Interstate,N
