root,node,count,Category,color
Kendall,Kendall,165460,Model,#c99052
Kendall,CBD,420,Model,#c99053
Kendall,Lake,225,Model,#c99054
Kendall,McHenry,385,Model,#c99055
Kendall,North Chicago,865,Model,#c99056
Kendall,North Cook,715,Model,#c99057
Kendall,South Chicago,520,Model,#c99058
Kendall,South Cook,1485,Model,#c99059
Kendall,WI,5,Model,#c99060
Kendall,West Chicago,620,Model,#c99061
Kendall,West Cook,2955,Model,#c99062
Kendall,Will,29765,Model,#c99063
Lake,DuPage,3165048.877,Survey,#5083de
Lake,IL,6851.359872,Survey,#5083de
Lake,IN,2958.359397,Survey,#5083de
Lake,Kane,1284328.087,Survey,#5083de
Lake,Kendall,7429.628689,Survey,#5083de
Lake,CBD,498310.6609,Survey,#5083de
Lake,Lake,385372100.1,Survey,#5083de
Lake,McHenry,15194627.05,Survey,#5083de
Lake,North Chicago,1411410.796,Survey,#5083de
Lake,North Cook,14210224.18,Survey,#5083de
Lake,South Chicago,236736.5931,Survey,#5083de
Lake,South Cook,595873.4815,Survey,#5083de
Lake,West Chicago,260199.4172,Survey,#5083de
Lake,West Cook,2436485.831,Survey,#5083de
Lake,Will,568290.4981,Survey,#5083de
Lake,DuPage,12855,Model,#5083de
Lake,IL,2400,Model,#5083de
Lake,IN,255,Model,#5083de
Lake,Kane,10630,Model,#5083de
Lake,Kendall,210,Model,#5083de
Lake,CBD,4250,Model,#5083de
Lake,Lake,1647680,Model,#5083de
Lake,McHenry,70800,Model,#5083de
Lake,North Chicago,20505,Model,#5083de
Lake,North Cook,228975,Model,#5083de
Lake,South Chicago,2235,Model,#5083de
Lake,South Cook,1170,Model,#5083de
Lake,WI,61855,Model,#5083de
Lake,West Chicago,3870,Model,#5083de
Lake,West Cook,17940,Model,#5083de
Lake,Will,895,Model,#5083de
McHenry,DuPage,1194144.393,Survey,#698d3c
McHenry,IL,11417.1042,Survey,#698d3c
McHenry,Kane,19795459.72,Survey,#698d3c
McHenry,Kendall,783850.0133,Survey,#698d3c
McHenry,CBD,115730.669,Survey,#698d3c
McHenry,Lake,16736748.35,Survey,#698d3c
McHenry,McHenry,333501035,Survey,#698d3c
McHenry,North Chicago,1120419.843,Survey,#698d3c
McHenry,North Cook,4515837.592,Survey,#698d3c
McHenry,South Chicago,219954.0874,Survey,#698d3c
McHenry,South Cook,175552.2685,Survey,#698d3c
McHenry,West Chicago,471754.1067,Survey,#698d3c
McHenry,West Cook,3050000.361,Survey,#698d3c
McHenry,Will,820337.7089,Survey,#698d3c
McHenry,DuPage,8890,Model,#698d3c
McHenry,IL,18805,Model,#698d3c
McHenry,IN,25,Model,#698d3c
McHenry,Kane,59705,Model,#698d3c
McHenry,Kendall,365,Model,#698d3c
McHenry,CBD,550,Model,#698d3c
McHenry,Lake,70410,Model,#698d3c
McHenry,McHenry,642115,Model,#698d3c
McHenry,North Chicago,3630,Model,#698d3c
McHenry,North Cook,32745,Model,#698d3c
McHenry,South Chicago,390,Model,#698d3c
McHenry,South Cook,340,Model,#698d3c
McHenry,WI,18450,Model,#698d3c
McHenry,West Chicago,655,Model,#698d3c
McHenry,West Cook,13985,Model,#698d3c
McHenry,Will,600,Model,#698d3c
North Chicago,DuPage,1487275.701,Survey,#d971b0
North Chicago,IL,1640.111036,Survey,#d971b1
North Chicago,IN,8132.04803,Survey,#d971b2
North Chicago,Kane,453065.1105,Survey,#d971b3
North Chicago,Kendall,71484.66756,Survey,#d971b4
North Chicago,CBD,943915.2398,Survey,#d971b5
North Chicago,Lake,1675909.569,Survey,#d971b6
North Chicago,McHenry,1105521.535,Survey,#d971b7
North Chicago,North Chicago,38390075.91,Survey,#d971b8
North Chicago,North Cook,6391215.352,Survey,#d971b9
North Chicago,South Chicago,2332077.011,Survey,#d971b10
North Chicago,South Cook,707344.0974,Survey,#d971b11
North Chicago,West Chicago,4952029.729,Survey,#d971b12
North Chicago,West Cook,2644542.338,Survey,#d971b13
North Chicago,Will,1360960.09,Survey,#d971b14
North Chicago,DuPage,44545,Model,#d971b15
North Chicago,IL,2070,Model,#d971b16
North Chicago,IN,7040,Model,#d971b17
North Chicago,Kane,6690,Model,#d971b18
North Chicago,Kendall,780,Model,#d971b19
North Chicago,CBD,234960,Model,#d971b20
North Chicago,Lake,20925,Model,#d971b21
North Chicago,McHenry,3505,Model,#d971b22
North Chicago,North Chicago,2056395,Model,#d971b23
North Chicago,North Cook,330975,Model,#d971b24
North Chicago,South Chicago,90185,Model,#d971b25
North Chicago,South Cook,21290,Model,#d971b26
North Chicago,WI,1770,Model,#d971b27
North Chicago,West Chicago,357095,Model,#d971b28
North Chicago,West Cook,178460,Model,#d971b29
North Chicago,Will,9140,Model,#d971b30
North Cook,DuPage,2926946.388,Survey,#43c8ac
North Cook,IL,1991.523396,Survey,#43c8ac
North Cook,IN,1402.086225,Survey,#43c8ac
North Cook,Kane,2187837.086,Survey,#43c8ac
North Cook,CBD,361099.3779,Survey,#43c8ac
North Cook,Lake,14251531.91,Survey,#43c8ac
North Cook,McHenry,4839750.528,Survey,#43c8ac
North Cook,North Chicago,6137641.501,Survey,#43c8ac
North Cook,North Cook,70983772.09,Survey,#43c8ac
North Cook,South Chicago,448200.0388,Survey,#43c8ac
North Cook,South Cook,1052477.574,Survey,#43c8ac
North Cook,West Chicago,491746.9255,Survey,#43c8ac
North Cook,West Cook,6263266.579,Survey,#43c8ac
North Cook,Will,1211398.499,Survey,#43c8ac
