OBJECTID,subzone09,AREANAME,Shape_Length,Shape_Area
14693,2738.000000000000000,West Cook,0.033901598379063,0.000070315644924
14694,2737.000000000000000,West Cook,0.033908638090713,0.000070349113023
14695,2999.000000000000000,South Cook,0.034133822313037,0.000071386066327
14696,2996.000000000000000,South Cook,0.034253670559871,0.000071806617414
14697,2995.000000000000000,South Cook,0.034226410600362,0.000071670010611
14698,2992.000000000000000,South Cook,0.033922997112158,0.000070516928152
14699,2991.000000000000000,South Cook,0.032587629182830,0.000065578075152
14700,2886.000000000000000,South Cook,0.033797976630495,0.000069947629382
14701,2885.000000000000000,South Cook,0.033831152350130,0.000070110746544
14702,2884.000000000000000,South Cook,0.033899517049333,0.000070396439622
14703,2883.000000000000000,South Cook,0.033928422986964,0.000070534031141
14704,2870.000000000000000,South Cook,0.033974977979851,0.000070731478199
14705,2869.000000000000000,South Cook,0.034000234084725,0.000070857700046
14706,2868.000000000000000,West Cook,0.034020416061799,0.000070891160185
14707,2867.000000000000000,West Cook,0.033918538039591,0.000070397088281
14708,2854.000000000000000,West Cook,0.033758907156042,0.000069794840608
14709,2853.000000000000000,West Cook,0.033825045437051,0.000070116727262
14710,2852.000000000000000,West Cook,0.033893620828472,0.000070373444542
14711,2851.000000000000000,West Cook,0.033924980071994,0.000070427365823
14712,2742.000000000000000,West Cook,0.033855420792890,0.000070149127681
14713,2741.000000000000000,West Cook,0.033861778280271,0.000070177943250
14714,3013.000000000000000,South Cook,0.033973318155104,0.000070608316789
14715,3010.000000000000000,South Cook,0.034072825631816,0.000070960998646
14716,3009.000000000000000,South Cook,0.034069778640055,0.000070942161146
14717,3006.000000000000000,South Cook,0.033877553520095,0.000070299988218
14718,3005.000000000000000,South Cook,0.032704800670101,0.000066086195122
14719,2890.000000000000000,South Cook,0.033951157193058,0.000070671401375
14720,2889.000000000000000,South Cook,0.033943417327863,0.000070633293576
14721,2888.000000000000000,South Cook,0.033924339129500,0.000070527055719
14722,2887.000000000000000,South Cook,0.033874185533724,0.000070288548163
14723,2874.000000000000000,South Cook,0.033898384422758,0.000070350852843
14724,2873.000000000000000,South Cook,0.033907603227607,0.000070393317993
14725,2872.000000000000000,South Cook,0.033978062108587,0.000070653885001
14726,2871.000000000000000,South Cook,0.033975540637595,0.000070645886372
14727,2858.000000000000000,West Cook,0.033833080259460,0.000070136189515
14728,2857.000000000000000,West Cook,0.033838694185638,0.000070164618468
14729,2856.000000000000000,West Cook,0.033882367464340,0.000070323648213
14730,2855.000000000000000,West Cook,0.034037918391035,0.000070889329996
14731,2746.000000000000000,West Cook,0.033923392518386,0.000070497967942
14732,2745.000000000000000,West Cook,0.033964895708080,0.000070699101427
14733,3012.000000000000000,South Cook,0.034041599589902,0.000070847116499
14734,3011.000000000000000,South Cook,0.034038240078599,0.000070824398968
14735,3008.000000000000000,South Cook,0.033871872843118,0.000070280662854
14736,3007.000000000000000,South Cook,0.032710429873525,0.000066109379952
14737,2894.000000000000000,South Cook,0.033936942580378,0.000070616307742
14738,2893.000000000000000,South Cook,0.033927250023220,0.000070571284200
14739,2892.000000000000000,South Cook,0.033944255453333,0.000070594962534
14740,2891.000000000000000,South Cook,0.033896077243527,0.000070365723563
14741,2878.000000000000000,South Cook,0.033883087480181,0.000070295693434
14742,2877.000000000000000,South Cook,0.033891930664460,0.000070337866437
14743,2876.000000000000000,South Cook,0.034023538157675,0.000070819570430
14744,2875.000000000000000,South Cook,0.034021737010947,0.000070814227138
14745,2862.000000000000000,South Cook,0.033860170818436,0.000070235628414
14746,2861.000000000000000,West Cook,0.033866011725811,0.000070264280914
14747,2860.000000000000000,West Cook,0.033878827679835,0.000070309982191
14748,2859.000000000000000,West Cook,0.034014123324321,0.000070802390494
14749,2750.000000000000000,West Cook,0.033926729851626,0.000070510775480
14750,2749.000000000000000,West Cook,0.033967203289330,0.000070708031530
14751,668.000000000000000,South Chicago,0.033922584637910,0.000070498812922
14752,669.000000000000000,South Chicago,0.020428471332103,0.000016612503024
14753,667.000000000000000,South Chicago,0.033979715631452,0.000070662604191
14754,664.000000000000000,South Chicago,0.034076312036442,0.000071051438478
14755,663.000000000000000,South Chicago,0.034096054336212,0.000071144574785
14756,660.000000000000000,South Chicago,0.034046553905313,0.000070968635445
14757,659.000000000000000,South Chicago,0.034030070460448,0.000070889438555
