res_gs,work_gs,Residence,Workplace,FREQUENCY,SUM_Walked,SUM_Bicycle,SUM_Car_truck_or_van_Drove_alone,SUM_Car_truck_or_van_In_a_2_person_carpool,SUM_Car_truck_or_van_In_a_3_person_carpool,SUM_Car_truck_or_van_In_a_4_person_carpool,SUM_Car_truck_or_van_In_a_5_or_6_person_carpool,SUM_Car_truck_or_van_In_a_7_or_more_person_carpool,SUM_Motorcycle,SUM_Taxicab,SUM_Bus_or_trolley_bus,SUM_Subway_or_elevated,SUM_Railroad,SUM_Streetcar_or_trolley_car,SUM_Ferryboat,SUM_Other_method,SUM_Worked_at_home,,SUM_Total_means_of_transportation
gs06,gs10,Inner West,Middle North,75,0,20,789,79,0,4,0,0,0,10,0,0,0,0,0,4,0,,907
gs06,gs11,Inner West,Middle Northwest,208,49,4,2258,200,40,20,60,0,0,0,59,25,0,0,0,58,0,,2775
gs06,gs12,Inner West,Middle/Outer South,43,0,0,430,0,0,0,0,4,0,0,4,10,0,0,0,0,0,,448
gs06,gs13,Inner West,Middle Southwest,112,0,0,1284,163,55,0,4,4,10,0,25,0,0,0,0,40,0,,1585
gs06,gs14,Inner West,Middle West,439,29,35,5723,518,123,14,10,4,0,10,184,0,80,0,0,88,0,,6846
gs06,gs15,Inner West,Middle Upper West,288,0,10,4003,482,55,30,0,4,0,0,104,0,24,0,0,30,0,,4753
gs06,gs16,Inner West,Middle Lower West,375,18,14,5196,400,94,20,10,0,0,0,125,10,30,0,10,25,0,,5966
gs06,gs17,Inner West,Outer North,33,0,0,323,0,0,0,0,0,0,0,29,24,20,4,0,0,0,,400
gs06,gs18,Inner West,Outer Northwest,61,0,0,577,10,0,0,0,0,0,0,24,4,14,0,0,0,0,,630
gs06,gs19,Inner West,Outer Southwest,47,15,8,418,14,0,0,4,0,0,0,30,10,0,0,0,4,0,,503
gs06,gs20,Inner West,Outer West,17,0,15,190,0,0,0,0,0,0,0,70,0,0,0,0,0,0,,275
gs06,gs21,Inner West,Outer Upper West,12,4,0,72,50,4,0,0,0,0,0,0,0,4,0,0,0,0,,134
gs06,gs22,Inner West,Outer Lower West,20,0,0,220,4,0,0,0,0,0,0,0,0,10,0,0,0,0,,235
gs06,gs23,Inner West,External Illinois,8,0,0,69,0,10,0,0,0,0,0,10,0,10,0,0,20,0,,119
gs06,gs24,Inner West,External Indiana,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35
gs06,gs25,Inner West,External Wisconsin,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10
gs07,gs01,Inner Upper West,Central,941,286,577,9386,1324,467,43,35,45,14,52,3883,2269,1355,25,0,194,0,,20025
gs07,gs02,Inner Upper West,Inner North,584,53,75,6103,571,113,0,40,20,0,10,1208,113,23,0,0,18,0,,8353
gs07,gs03,Inner Upper West,Inner Northwest,836,341,138,10682,1431,246,46,8,25,0,30,1769,311,145,4,0,88,0,,15338
gs07,gs04,Inner Upper West,Inner South,164,18,4,1455,193,44,0,35,40,0,0,109,34,29,0,0,60,0,,2028
gs07,gs05,Inner Upper West,Inner Southwest,159,28,4,1739,269,4,0,0,0,0,0,159,0,0,0,0,55,0,,2259
gs07,gs06,Inner Upper West,Inner West,446,116,103,5915,609,119,24,15,0,10,25,691,24,35,0,0,19,0,,7726
gs07,gs07,Inner Upper West,Inner Upper West,594,1745,346,8091,1213,103,99,10,30,10,0,926,45,10,10,0,362,2924,,15948
gs07,gs08,Inner Upper West,Inner Lower West,189,14,0,2183,119,74,0,20,0,0,10,127,0,0,0,0,0,0,,2548
gs07,gs09,Inner Upper West,Northwest Indiana,6,0,0,45,29,10,0,0,0,0,0,0,0,0,0,0,0,0,,84
gs07,gs10,Inner Upper West,Middle North,130,0,15,1530,165,74,0,0,15,4,0,20,0,50,15,0,10,0,,1894
gs07,gs11,Inner Upper West,Middle Northwest,211,39,10,2497,125,140,43,40,0,0,0,90,29,0,0,0,35,0,,3046
gs07,gs12,Inner Upper West,Middle/Outer South,30,0,0,320,18,10,0,0,0,20,0,0,0,0,0,0,0,0,,368
gs07,gs13,Inner Upper West,Middle Southwest,72,4,20,696,43,25,0,4,0,0,0,10,10,0,0,0,49,0,,861
gs07,gs14,Inner Upper West,Middle West,194,30,0,2768,160,55,0,15,0,20,0,14,0,0,0,0,10,0,,3076
gs07,gs15,Inner Upper West,Middle Upper West,251,4,4,3562,381,119,20,110,0,4,0,85,8,30,0,0,139,0,,4463
gs07,gs16,Inner Upper West,Middle Lower West,149,0,0,1979,305,10,50,0,0,0,0,10,0,10,0,0,35,0,,2399
gs07,gs17,Inner Upper West,Outer North,33,0,0,315,40,10,0,0,10,0,0,60,0,25,0,0,0,0,,465
gs07,gs18,Inner Upper West,Outer Northwest,86,0,0,814,82,55,19,10,0,0,0,90,0,4,0,0,10,0,,1080
gs07,gs19,Inner Upper West,Outer Southwest,20,0,0,146,39,0,0,0,0,0,0,20,0,0,0,0,0,0,,205
gs07,gs20,Inner Upper West,Outer West,12,0,0,118,60,25,0,0,0,0,0,0,0,0,0,0,0,0,,203
gs07,gs21,Inner Upper West,Outer Upper West,9,0,0,98,0,0,0,0,0,0,0,4,0,20,0,0,0,0,,122
gs07,gs22,Inner Upper West,Outer Lower West,11,0,0,143,10,15,0,0,0,0,0,0,0,0,0,0,0,0,,163
gs07,gs23,Inner Upper West,External Illinois,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39
gs07,gs24,Inner Upper West,External Indiana,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20
gs07,gs25,Inner Upper West,External Wisconsin,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10
gs08,gs01,Inner Lower West,Central,991,115,220,9013,1591,230,189,15,30,14,4,1996,2549,5842,98,0,92,0,,22064
gs08,gs02,Inner Lower West,Inner North,264,20,0,2793,246,43,8,15,0,0,0,256,198,132,20,0,0,0,,3734
gs08,gs03,Inner Lower West,Inner Northwest,295,44,4,3087,433,73,49,4,15,0,0,230,225,10,20,0,84,0,,4265
gs08,gs04,Inner Lower West,Inner South,221,31,4,2172,436,79,75,0,0,0,0,212,89,58,4,0,25,0,,3192
gs08,gs05,Inner Lower West,Inner Southwest,434,99,38,5661,792,94,120,50,39,0,65,395,10,60,0,0,65,0,,7467
gs08,gs06,Inner Lower West,Inner West,548,139,39,7798,818,243,58,24,60,0,40,500,43,65,0,0,70,0,,9902
gs08,gs07,Inner Lower West,Inner Upper West,180,20,0,2061,365,43,90,29,10,0,19,127,10,10,0,0,0,0,,2776
gs08,gs08,Inner Lower West,Inner Lower West,1053,3388,321,17056,2007,283,299,53,39,0,85,1045,70,49,0,0,254,4670,,29613
gs08,gs09,Inner Lower West,Northwest Indiana,20,0,0,163,65,10,10,0,0,0,0,0,0,0,0,0,0,0,,248
gs08,gs10,Inner Lower West,Middle North,78,10,0,916,145,83,10,0,0,0,0,64,0,8,0,0,0,0,,1236
gs08,gs11,Inner Lower West,Middle Northwest,142,60,19,1717,120,39,15,4,0,0,0,14,0,0,0,0,0,0,,1993
gs08,gs12,Inner Lower West,Middle/Outer South,41,25,0,426,34,0,20,10,25,0,0,14,0,0,0,0,0,0,,554
gs08,gs13,Inner Lower West,Middle Southwest,219,0,18,2484,479,104,0,20,19,0,0,10,0,0,0,0,4,0,,3138
gs08,gs14,Inner Lower West,Middle West,246,35,0,3323,301,115,39,0,0,0,0,64,0,44,0,0,15,0,,3932
gs08,gs15,Inner Lower West,Middle Upper West,193,10,19,2268,175,104,35,25,15,0,0,14,10,10,0,0,0,0,,2701
gs08,gs16,Inner Lower West,Middle Lower West,488,18,43,6993,612,218,95,18,0,0,0,74,18,58,0,0,30,0,,8145
gs08,gs17,Inner Lower West,Outer North,15,0,0,158,10,0,4,0,0,0,0,0,10,0,0,0,0,0,,182
gs08,gs18,Inner Lower West,Outer Northwest,56,10,4,503,99,25,29,0,0,0,0,29,0,0,0,0,20,0,,719
gs08,gs19,Inner Lower West,Outer Southwest,77,15,0,879,129,10,0,12,0,0,0,0,0,0,0,0,25,0,,1070
gs08,gs20,Inner Lower West,Outer West,14,0,15,154,0,10,15,0,0,0,0,0,0,0,0,0,0,0,,194
gs08,gs21,Inner Lower West,Outer Upper West,11,0,0,97,34,4,0,4,0,0,0,0,0,0,0,0,0,0,,140
gs08,gs22,Inner Lower West,Outer Lower West,22,0,0,212,25,10,0,15,0,0,0,15,0,0,0,0,0,0,,277
gs08,gs23,Inner Lower West,External Illinois,14,0,0,108,34,10,0,0,0,0,0,0,0,0,0,0,20,0,,172
gs08,gs24,Inner Lower West,External Indiana,6,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,58
