cat,subgroup,value,xaxis,hours
all,Model-Arrive,66535,5,6:30 AM
all,Model-Arrive,75410,6,7:00 AM
all,Model-Arrive,73125,7,7:30 AM
all,Model-Arrive,100270,8,8:00 AM
all,Model-Arrive,97195,9,8:30 AM
all,Model-Arrive,101275,10,9:00 AM
all,Model-Arrive,91065,11,9:30 AM
all,Model-Arrive,99205,12,10:00 AM
all,Model-Arrive,103080,13,10:30 AM
all,Model-Arrive,145610,14,11:00 AM
all,Model-Arrive,169485,15,11:30 AM
all,Model-Arrive,209375,16,12:00 PM
all,Model-Arrive,245950,17,12:30 PM
all,Model-Arrive,258090,18,1:00 PM
all,Model-Arrive,260805,19,1:30 PM
all,Model-Arrive,264415,20,2:00 PM
all,Model-Arrive,396205,21,2:30 PM
all,Model-Arrive,703270,22,3:00 PM
all,Model-Arrive,775825,23,3:30 PM
all,Model-Arrive,723685,24,4:00 PM
all,Model-Arrive,723970,25,4:30 PM
all,Model-Arrive,1004275,26,5:00 PM
all,Model-Arrive,507945,27,5:30 PM
all,Model-Arrive,450995,28,6:00 PM
all,Model-Arrive,364215,29,6:30 PM
all,Model-Arrive,212925,30,7:00 PM
all,Model-Arrive,180650,31,7:30 PM
all,Model-Arrive,176085,32,8:00 PM
all,Model-Arrive,174870,33,8:30 PM
all,Model-Arrive,174230,34,9:00 PM
all,Model-Arrive,134415,35,9:30 PM
all,Model-Arrive,107860,36,10:00 PM
all,Model-Arrive,90600,37,10:30 PM
all,Model-Arrive,76795,38,11:00 PM
all,Model-Arrive,68210,39,11:30 PM
all,Model-Arrive,70690,40,12:00 PM
discretionary,Model-Depart,23720,1,3:00 AM
escort,Model-Depart,4680,1,3:00 AM
maintenance,Model-Depart,7200,1,3:00 AM
school,Model-Depart,9815,1,3:00 AM
university,Model-Depart,565,1,3:00 AM
work,Model-Depart,106570,1,3:00 AM
work-based,Model-Depart,65,1,3:00 AM
discretionary,Model-Depart,27820,2,5:00 AM
escort,Model-Depart,7080,2,5:00 AM
maintenance,Model-Depart,9570,2,5:00 AM
school,Model-Depart,8380,2,5:00 AM
university,Model-Depart,530,2,5:00 AM
work,Model-Depart,82505,2,5:00 AM
work-based,Model-Depart,145,2,5:00 AM
discretionary,Model-Depart,30675,3,5:30 AM
escort,Model-Depart,10670,3,5:30 AM
maintenance,Model-Depart,14040,3,5:30 AM
school,Model-Depart,7985,3,5:30 AM
university,Model-Depart,315,3,5:30 AM
work,Model-Depart,83910,3,5:30 AM
work-based,Model-Depart,235,3,5:30 AM
discretionary,Model-Depart,32775,4,6:00 AM
escort,Model-Depart,14955,4,6:00 AM
maintenance,Model-Depart,18570,4,6:00 AM
school,Model-Depart,7765,4,6:00 AM
university,Model-Depart,3965,4,6:00 AM
work,Model-Depart,376050,4,6:00 AM
work-based,Model-Depart,540,4,6:00 AM
discretionary,Model-Depart,35020,5,6:30 AM
escort,Model-Depart,26545,5,6:30 AM
maintenance,Model-Depart,24215,5,6:30 AM
school,Model-Depart,141745,5,6:30 AM
university,Model-Depart,5470,5,6:30 AM
work,Model-Depart,511395,5,6:30 AM
work-based,Model-Depart,925,5,6:30 AM
discretionary,Model-Depart,37035,6,7:00 AM
escort,Model-Depart,41135,6,7:00 AM
maintenance,Model-Depart,30280,6,7:00 AM
school,Model-Depart,325170,6,7:00 AM
university,Model-Depart,24520,6,7:00 AM
work,Model-Depart,1020715,6,7:00 AM
work-based,Model-Depart,3385,6,7:00 AM
discretionary,Model-Depart,34805,7,7:30 AM
escort,Model-Depart,55350,7,7:30 AM
maintenance,Model-Depart,40450,7,7:30 AM
school,Model-Depart,417050,7,7:30 AM
university,Model-Depart,20585,7,7:30 AM
work,Model-Depart,950790,7,7:30 AM
work-based,Model-Depart,8685,7,7:30 AM
discretionary,Model-Depart,39475,8,8:00 AM
escort,Model-Depart,69660,8,8:00 AM
maintenance,Model-Depart,60485,8,8:00 AM
school,Model-Depart,320580,8,8:00 AM
university,Model-Depart,16540,8,8:00 AM
work,Model-Depart,118010,8,8:00 AM
work-based,Model-Depart,8720,8,8:00 AM
discretionary,Model-Depart,41250,9,8:30 AM
escort,Model-Depart,53715,9,8:30 AM
maintenance,Model-Depart,66035,9,8:30 AM
school,Model-Depart,194935,9,8:30 AM
university,Model-Depart,16430,9,8:30 AM
work,Model-Depart,69765,9,8:30 AM
work-based,Model-Depart,8905,9,8:30 AM
discretionary,Model-Depart,34020,10,9:00 AM
escort,Model-Depart,15935,10,9:00 AM
maintenance,Model-Depart,66020,10,9:00 AM
school,Model-Depart,22190,10,9:00 AM
university,Model-Depart,12140,10,9:00 AM
work,Model-Depart,15445,10,9:00 AM
work-based,Model-Depart,9250,10,9:00 AM
discretionary,Model-Depart,28065,11,9:30 AM
escort,Model-Depart,14515,11,9:30 AM
maintenance,Model-Depart,64270,11,9:30 AM
school,Model-Depart,9270,11,9:30 AM
university,Model-Depart,9695,11,9:30 AM
work,Model-Depart,11605,11,9:30 AM
work-based,Model-Depart,9275,11,9:30 AM
discretionary,Model-Depart,24495,12,10:00 AM
escort,Model-Depart,14565,12,10:00 AM
maintenance,Model-Depart,62610,12,10:00 AM
school,Model-Depart,6550,12,10:00 AM
university,Model-Depart,7970,12,10:00 AM
work,Model-Depart,9810,12,10:00 AM
work-based,Model-Depart,10325,12,10:00 AM
discretionary,Model-Depart,14900,13,10:30 AM
escort,Model-Depart,16795,13,10:30 AM
maintenance,Model-Depart,54920,13,10:30 AM
school,Model-Depart,5500,13,10:30 AM
university,Model-Depart,6840,13,10:30 AM
work,Model-Depart,8040,13,10:30 AM
work-based,Model-Depart,13565,13,10:30 AM
discretionary,Model-Depart,15525,14,11:00 AM
escort,Model-Depart,32615,14,11:00 AM
maintenance,Model-Depart,50425,14,11:00 AM
